,TICKER,Sector,Industry,tix_og_adjpx,tix_last_adjpx,cumul_ret
0,DIA,N/A,Diversified Financials,144.396525544572,287.61992707589,99.19%
1,VUG,N/A,Internet Software & IT Services,96.8042454321952,248.391170423389,156.59%
2,VV,N/A,Internet Software & IT Services,79.7646286640468,167.495183927381,109.99%
3,VO,N/A,Software,104.397592191208,197.041659052798,88.74%
4,VBK,N/A,Software,112.636261798688,262.882412424896,133.39%
5,VBR,N/A,Banks,82.2821594880895,132.980939437184,61.62%
6,VB,N/A,Real Estate,96.3534228859588,185.474568167189,92.49%
7,VTV,N/A,Diversified Financials,65.0034798087766,109.687430885362,68.74%
8,ITOT,N/A,Internet Software & IT Services,39.6670199953447,82.2084117690962,107.25%
9,OEF,N/A,Internet Software & IT Services,77.9297336397934,164.487874492758,111.07%
10,DVY,N/A,Electric Utilities,55.733547851701,85.7144551795544,53.79%
11,IBB,Health Care,Biotechnology Life Sciences,106.790852088352,150.126885257053,40.58%
12,ICF,Real Estate,Real Estate,38.6476979749245,49.7275160806836,28.67%
13,IGE,N/A,Coal & Consumable Fuels ,21.784372581554,21.1408535366525,-2.95%
14,IGM,Information Technology,Internet Software & IT Services,17.2832893255345,57.6040090587705,233.29%
15,IGN,Information Technology,Communications Equipment,N/A,N/A,nan%
16,IGV,Information Technology,Software,19.9608147018985,70.8086687934486,254.74%
17,SOXX,Information Technology,Semiconductors,27.0314475693448,122.7193908452,353.99%
18,IWP,N/A,Software,42.6839239117861,100.854196172593,136.28%
19,IWR,N/A,Real Estate,34.7900048254316,65.5436099927175,88.40%
20,IWS,N/A,Real Estate,57.6173857398082,91.6796132363696,59.12%
21,IYT,Industrials,Road & Rail,29.9377835816627,53.0656253417733,77.25%
22,ILCB,N/A,Internet Software & IT Services,25.3029491458128,51.707649794611,104.35%
23,ILCG,N/A,Internet Software & IT Services,22.3000518190778,56.8468788352229,154.92%
24,ILCV,N/A,Diversified Financials,32.4849896600925,52.12502967585,60.46%
25,IMCB,N/A,Real Estate,31.1452872537552,55.7804917191483,79.10%
26,IMCG,N/A,Software,23.934523812884,62.216862309409,159.95%
27,IMCV,N/A,Real Estate,32.133004373631,48.480838375647,50.88%
28,ISCB,N/A,Real Estate,27.9672694701889,47.033305745102,68.17%
29,ISCG,N/A,Biotechnology Life Sciences,20.6478211921659,49.3374731031321,138.95%
30,ISCV,N/A,Banks,31.2880762591821,43.7889510354811,39.95%
31,PEY,N/A,Electric Utilities,9.37275300771496,15.0087116020286,60.13%
32,PWC,N/A,Diversified Financials,21.0738072074296,33.8660183125268,60.70%
33,RSP,N/A,Real Estate,65.7597790803605,120.852427381187,83.78%
34,SPYG,N/A,Internet Software & IT Services,22.159749966449,53.6227592557282,141.98%
