Date,Indx,HC,RE,IT,Ind,Mat,CD,CS,Fin,Util,Eng,Com,Portfolio
2016-01-04,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,600000.0
2016-01-05,50117.03,50200.82,50580.63,49873.62,49799.52,49761.93,49900.18,49937.18,50043.42,50309.29,49893.84,49970.23,600387.69
2016-01-06,49480.88,49183.64,50364.39,49127.36,49232.02,48901.77,49064.5,49608.83,50828.51,50083.16,48166.19,49653.59,593694.84
2016-01-07,48341.76,47693.62,49412.08,47879.63,48106.32,47769.35,48277.37,48967.53,48979.47,49747.64,46622.41,48825.96,580623.14
2016-01-08,47752.54,47124.24,48827.33,47293.93,47537.96,47059.0,47597.05,48576.58,48638.83,49538.66,46372.73,48341.59,574660.44
2016-01-11,47591.83,45878.58,48890.23,47090.95,47348.27,46420.77,47544.14,48351.18,48548.78,49712.22,45086.55,48260.89,570724.3899999999
2016-01-12,47768.68,46037.54,48483.23,47378.33,47288.88,46260.1,47733.92,48680.04,48496.81,49413.14,44619.75,48483.44,570643.86
2016-01-13,46655.98,44416.69,47711.73,46374.24,46381.0,45418.84,46803.14,48094.48,47634.38,49230.89,43441.37,47743.44,559906.1799999999
2016-01-14,47231.02,45030.72,47829.39,46994.79,46591.89,45739.6,46900.34,48113.04,47812.58,49759.46,44499.15,48201.17,564703.15
2016-01-15,46343.81,44219.41,47324.2,45885.7,45753.69,44875.7,46167.88,47288.31,47149.66,49002.43,43188.72,46878.3,554077.81
2016-01-19,46200.46,43646.26,47343.35,45589.31,45382.99,44275.15,46087.5,47332.17,46956.89,49277.73,42008.31,46674.93,550775.05
2016-01-20,45774.87,43932.58,46423.48,45451.58,45040.32,43969.6,45681.78,46908.3,46513.12,48555.1,40999.42,46014.98,545265.1299999999
2016-01-21,45996.66,43774.76,46665.5,45678.56,45322.2,44242.92,46004.45,46939.12,48772.61,48648.0,42110.86,45952.83,550108.47
2016-01-22,46878.49,44606.13,47750.7,46963.36,46280.24,44914.68,46822.3,47655.09,49334.97,49730.2,44263.31,47197.18,562396.65
2016-01-25,46192.39,44383.52,47349.59,46252.74,45550.7,44131.72,46259.41,47337.66,48736.41,49243.98,42845.24,46751.66,555035.0200000001
2016-01-26,46911.3,44566.87,48157.02,46786.29,46362.15,44973.0,46895.67,47794.55,49249.51,49825.64,44057.42,47318.81,562898.23
2016-01-27,46523.26,43887.29,47675.38,46084.92,46079.59,44793.86,46517.85,47613.84,49216.36,49900.0,44237.38,47128.44,559658.1699999999
2016-01-28,46650.83,43097.18,47626.95,45916.04,46069.93,44881.23,46678.64,48012.11,49494.7,50594.85,45256.3,47139.37,561418.13
2016-01-29,47780.97,43835.15,48610.26,47195.2,47192.1,45993.95,47735.94,49050.2,50193.48,51727.33,46394.71,48174.73,573884.02
2016-02-01,47823.67,47823.67,47823.67,47823.67,47823.67,47823.67,47823.67,47823.67,47823.67,47823.67,47823.67,47823.67,573884.0399999999
2016-02-02,46933.23,46976.12,47295.19,46845.05,46848.15,46871.51,47075.59,47462.78,47154.4,47826.92,46516.79,47133.46,564939.19
2016-02-03,47100.15,46915.61,47443.67,47030.63,47048.54,47775.69,47104.29,47821.3,47197.56,48508.61,47509.61,47593.06,569048.72
2016-02-04,47332.18,47117.26,47663.98,47508.57,47451.98,48804.26,47309.12,47559.5,47284.4,48241.46,48116.98,47690.11,572079.8
2016-02-05,46472.59,45904.93,46972.39,45853.95,47140.9,48561.1,46366.05,47231.59,46891.54,48083.01,47301.67,46740.99,563520.71
2016-02-08,45703.32,44469.66,45956.57,44745.26,46469.1,47841.48,45706.35,46965.45,46450.7,47967.59,46051.23,45769.28,554095.99
2016-02-09,45633.92,44245.41,45337.35,44275.75,46226.77,47532.9,45345.22,46862.45,46229.67,47761.38,44817.94,45360.8,549629.5599999999
2016-02-10,45667.37,44441.33,45400.34,44386.46,46050.22,47485.55,45452.29,46801.13,46216.68,47535.38,44485.88,45331.18,549253.81
2016-02-11,45126.2,44073.14,44929.63,44066.62,45526.28,47196.32,45004.35,46362.57,45545.0,46846.44,43767.89,45208.25,543652.69
2016-02-12,45877.3,44630.69,45375.66,44578.02,46167.35,48248.98,45752.03,46822.62,46271.72,46969.98,44815.6,45684.79,551194.74
2016-02-16,46742.22,45593.21,46166.38,45789.91,47118.26,48812.29,47014.28,47210.73,46819.47,47311.76,45631.3,46575.39,560785.2
2016-02-17,47516.22,46763.9,46725.08,46640.59,47878.83,49723.07,47883.66,47675.88,47137.61,47526.5,47097.81,47218.94,569788.09
2016-02-18,47444.69,46379.49,46969.24,46531.58,47947.18,49817.53,47851.94,47716.61,46989.27,47952.03,46926.89,47281.91,569808.36
2016-02-19,47420.38,46604.29,47197.63,46827.54,47846.21,49541.2,47891.53,47919.04,46985.92,47756.46,46462.03,47154.32,569606.5499999999
2016-02-22,48072.53,47077.0,47624.63,47399.88,48493.11,50428.44,48454.5,48239.83,47363.7,48192.73,47909.23,47781.28,577036.8600000001
2016-02-23,47683.34,46396.0,47408.85,46921.22,48170.39,49748.2,48331.6,48046.88,47016.23,47905.31,46636.57,47431.79,571696.38
2016-02-24,47924.01,46590.43,47489.23,47420.66,48330.33,50093.42,48584.63,48303.71,46968.54,48066.44,46952.77,47607.31,574331.48
2016-02-25,48386.64,46849.97,48218.31,47769.52,48609.51,50345.59,49117.82,48778.21,47282.6,48419.51,47045.57,47859.04,578682.29
2016-02-26,48499.47,47211.59,48102.19,48131.55,48936.67,50829.57,49383.52,48700.05,47519.14,47644.36,47759.73,48018.02,580735.86
2016-02-29,48365.09,46612.89,47941.31,48116.19,48981.78,51023.49,49432.72,48565.7,47275.35,47688.79,48057.05,48122.42,580182.78
2016-03-01,48348.57,48348.57,48348.57,48348.57,48348.57,48348.57,48348.57,48348.57,48348.57,48348.57,48348.57,48348.57,580182.84
2016-03-02,48679.88,49108.83,48764.31,48650.28,48674.61,49248.73,48669.83,48575.97,48676.19,48723.09,49130.92,48375.8,585278.4400000001
2016-03-03,49045.9,49276.21,49141.16,48949.81,49239.36,49960.93,48977.34,48884.57,48981.28,48887.37,50315.49,48804.83,590464.2499999999
2016-03-04,49290.78,49495.22,49233.79,49160.77,49803.56,50752.48,49292.92,49178.59,49181.13,49230.95,51273.62,49166.78,595060.5900000001
2016-03-07,49519.25,50478.51,49346.82,49295.04,50596.76,51744.49,49467.15,49273.72,49388.76,49355.58,52703.31,49235.61,600405.0000000001
2016-03-08,48914.49,49416.88,48892.05,48495.72,49720.34,50645.49,48930.91,48971.21,48995.54,49408.58,50547.14,48793.23,591731.58
2016-03-09,49085.54,49395.73,49220.25,48685.81,49950.13,50936.91,49033.19,49324.51,49081.53,49698.69,51130.94,49111.41,594654.64
2016-03-10,48980.41,49061.67,49024.42,48401.17,49522.71,51072.24,48820.94,49125.76,49100.58,49723.78,50721.8,48880.75,592436.2300000001
2016-03-11,49787.33,50251.87,49978.95,49260.77,50277.89,51897.08,49578.84,49516.48,49826.25,49986.43,51978.85,49749.43,602090.17
2016-03-14,49750.62,50569.62,49932.94,49298.14,50281.99,51807.2,49584.24,49418.73,49629.86,50010.71,51649.35,49708.35,601641.75
2016-03-15,49426.32,49152.03,49748.62,48735.26,49861.54,51383.97,49114.49,49365.03,49343.16,49943.33,51214.08,49214.63,596502.4600000001
2016-03-16,49797.06,49024.85,50272.85,49181.37,50329.04,52182.69,49402.78,49824.68,49456.83,50299.58,52341.53,49657.61,601770.87
2016-03-17,50291.99,48931.99,50888.74,49715.85,51135.63,53302.2,49846.32,50382.84,49950.34,50887.25,53315.43,50302.59,608951.17
2016-03-18,50518.82,49609.09,50862.15,50091.4,51472.2,53358.63,50253.89,50394.92,50222.46,50749.13,52877.99,50398.99,610809.67
2016-03-21,50538.18,50020.05,50721.68,50141.43,51502.47,53357.12,50193.37,50463.1,50190.4,50610.38,52789.94,50366.9,610895.02
2016-03-22,50514.28,50403.78,50790.92,50193.14,51434.19,53313.33,49951.76,50337.62,50138.16,50603.45,52732.09,50167.24,610579.9600000001
2016-03-23,50039.44,49412.81,50453.78,49437.35,50820.53,52348.63,49369.04,50352.26,49678.68,50558.73,51284.71,49718.68,603474.64
2016-03-24,49999.89,49474.46,50530.8,49515.73,50870.41,52259.89,49390.42,50311.34,49585.95,50843.99,51492.44,49631.96,603907.28
2016-03-28,50086.99,49142.78,50921.22,49553.29,50977.19,52412.88,49553.56,50505.16,49647.23,50874.89,51249.52,49786.3,604711.01
2016-03-29,50730.45,50148.76,51688.45,50444.76,51736.02,53162.49,50258.3,51015.72,49977.56,51358.31,51397.73,50476.61,612395.1599999999
2016-03-30,50925.75,50303.82,51766.75,50633.06,51971.5,53439.63,50473.81,51341.66,50236.52,51518.89,51793.14,50495.18,614899.7100000001
2016-03-31,50936.06,50658.35,51868.68,50743.13,51941.64,53272.38,50421.64,51319.31,50191.21,51927.47,52207.58,50521.84,616009.2899999999
2016-04-01,51334.11,51334.11,51334.11,51334.11,51334.11,51334.11,51334.11,51334.11,51334.11,51334.11,51334.11,51334.11,616009.32
2016-04-04,51055.27,51778.42,51351.01,51104.17,50937.85,50754.0,51008.67,51317.18,51153.49,52009.33,50766.49,51120.14,614356.02
2016-04-05,50570.45,51380.71,51010.46,50539.76,50451.13,50342.04,50643.36,50913.5,50711.97,50341.08,50298.65,50561.02,607764.13
2016-04-06,50979.07,52864.11,51192.34,51139.94,50755.69,50627.44,50875.42,51302.18,50836.99,50406.87,51137.97,50818.09,612936.1099999999
2016-04-07,50420.62,52671.33,50859.97,50510.4,50376.72,50173.55,50316.53,50949.43,50311.91,51164.81,51004.68,50320.31,609080.26
2016-04-08,50588.13,52569.46,51203.63,50641.48,50860.51,50836.87,50363.43,51167.93,50505.67,51480.08,52079.59,50599.51,612896.29
2016-04-11,50551.32,52138.67,51378.75,50429.1,51134.62,51402.42,50356.14,51053.55,50688.01,51503.32,52432.92,50561.13,613629.9500000001
2016-04-12,50950.58,52403.29,51684.26,50624.38,51482.8,52084.75,50844.17,51287.93,51070.19,51890.73,54087.29,51055.3,619465.67
2016-04-13,51607.04,53211.05,51826.86,51548.87,52421.84,52963.98,51744.77,51364.22,51926.69,51962.25,54391.15,51515.89,626484.61
2016-04-14,51592.74,53673.83,51751.86,51528.52,52457.61,52880.55,51612.7,51248.07,52054.13,51132.69,54197.31,51432.6,625562.61
2016-04-15,51625.3,53739.39,52030.56,51397.56,52571.95,53099.81,51754.39,51438.03,51964.77,51434.93,53585.41,51623.18,626265.28
2016-04-18,51924.5,54268.41,52254.54,51724.56,52890.44,53554.26,52011.34,51716.79,52163.52,51652.35,54300.33,51341.11,629802.15
2016-04-19,52103.24,53927.07,52353.01,51672.99,53249.68,54528.43,52140.02,52040.88,52496.52,51971.74,55831.17,51742.99,634057.7400000001
2016-04-20,52182.25,53952.46,51788.72,51887.45,53412.33,54724.86,52260.21,51989.84,52821.47,52102.64,56356.39,51707.63,635186.25
2016-04-21,51835.62,54404.71,51224.19,51872.55,53080.12,54584.4,51999.35,51430.67,52674.06,51463.79,56368.88,51489.57,632427.9099999999
2016-04-22,52047.96,54711.9,51544.01,52110.75,53403.29,54729.76,52015.28,51410.26,52850.72,51656.22,57089.56,51745.45,635315.1599999999
2016-04-25,51834.96,54595.01,51729.89,51793.16,52994.89,54154.58,51889.08,51453.84,52775.68,51803.03,56477.79,51663.51,633165.42
2016-04-26,52141.62,54335.8,52142.75,52360.58,53483.57,54803.96,52335.33,51633.13,53110.42,51992.61,56875.24,51848.27,637063.28
2016-04-27,52357.86,54026.4,52214.26,52885.69,53718.97,55117.09,52328.02,51705.21,53183.71,52451.76,57764.38,51897.97,639651.3200000001
2016-04-28,51883.11,53666.78,52071.68,52174.02,53347.53,55107.57,51701.68,51868.72,52926.22,52437.93,57507.72,51551.98,636244.94
2016-04-29,51546.36,52975.23,51746.59,51801.97,53493.83,55285.8,51460.61,51874.56,52896.2,52576.44,57649.2,51520.01,634826.7999999999
2016-05-02,52902.23,52902.23,52902.23,52902.23,52902.23,52902.23,52902.23,52902.23,52902.23,52902.23,52902.23,52902.23,634826.7599999999
2016-05-03,52337.42,52291.81,52675.68,52427.85,52306.24,51933.4,52349.56,52597.39,52425.06,52669.86,51578.7,52354.78,627947.75
2016-05-04,52059.77,51433.04,53063.3,52014.43,51896.88,51462.64,52129.47,52306.75,52160.9,53016.41,50936.01,52056.26,624535.8600000001
2016-05-05,51937.14,51111.56,53125.13,51835.29,51709.8,51289.04,51782.39,52308.49,52082.79,52869.02,50826.75,51969.73,622847.1299999999
2016-05-06,52095.44,50583.37,53477.48,52020.73,51939.74,51742.12,51890.99,52496.14,52156.24,52886.47,50863.29,52157.31,624309.3200000001
2016-05-09,52176.91,51323.71,53880.57,51938.23,51745.76,50657.25,52155.65,52711.34,52130.79,53063.95,50020.72,52050.92,623855.8
2016-05-10,52693.11,51490.83,53854.08,52362.74,52301.83,51398.08,52455.87,53103.55,52464.04,53295.69,50730.7,52445.2,628595.72
2016-05-11,52276.1,50843.4,53292.97,52189.18,52042.44,51490.5,51513.74,52846.14,52270.17,53208.47,50945.89,52422.77,625341.77
2016-05-12,52176.73,49955.03,53426.41,51644.91,51821.14,51236.98,51440.34,52820.58,52244.29,53227.41,50871.09,52442.86,623307.77
