TICKER,Sector,Industry
DIA,N/A,Diversified Financials
VUG,N/A,Internet Software & IT Services
VV,N/A,Internet Software & IT Services
VO,N/A,Software
VBK,N/A,Software
VBR,N/A,Banks
VB,N/A,Real Estate
VTV,N/A,Diversified Financials
ITOT,N/A,Internet Software & IT Services
OEF,N/A,Internet Software & IT Services
DVY,N/A,Electric Utilities
IBB,Health Care,Biotechnology Life Sciences
ICF,Real Estate,Real Estate
IGE,N/A,Coal & Consumable Fuels 
IGM,Information Technology,Internet Software & IT Services
IGN,Information Technology,Communications Equipment
IGV,Information Technology,Software
SOXX,Information Technology,Semiconductors
IWP,N/A,Software
IWR,N/A,Real Estate
IWS,N/A,Real Estate
IYT,Industrials,Road & Rail
ILCB,N/A,Internet Software & IT Services
ILCG,N/A,Internet Software & IT Services
ILCV,N/A,Diversified Financials
IMCB,N/A,Real Estate
IMCG,N/A,Software
IMCV,N/A,Real Estate
ISCB,N/A,Real Estate
ISCG,N/A,Biotechnology Life Sciences
ISCV,N/A,Banks
PEY,N/A,Electric Utilities
PWC,N/A,Diversified Financials
RSP,N/A,Real Estate
SPYG,N/A,Internet Software & IT Services
SPYV,N/A,Diversified Financials
XNTK,Information Technology,Software
RWR,Real Estate,Real Estate
VAW,Materials,Chemicals
VCR,Consumer Discretionary,Internet & Catalog Retail
VDC,Consumer Staples,Beverages Tobacco
VFH,Financials,Diversified Financials
VGT,Information Technology,Software
VHT,Health Care,Biotechnology Life Sciences
VPU,Utilities,Electric Utilities
VTI,N/A,Internet Software & IT Services
VXF,N/A,Software
VDE,Energy,Oil & Gas Exploration & Production 
VIS,Industrials,Aerospace & Defense 
VNQ,Real Estate,Real Estate
VOX,N/A,Internet Software & IT Services
ONEQ,N/A,Software
PBS,N/A,Media
PXQ,Information Technology,Software
PSI,Information Technology,Semiconductors
XSMO,N/A,Specialty Retail
PSJ,Information Technology,Software
PBW,N/A,Electrical Equipment
XSD,Information Technology,Semiconductors
XHB,N/A,Building Products
KBE,Financials,Banks
XRT,Consumer Discretionary,Specialty Retail
CSD,N/A,Chemicals
CZA,N/A,Electric Utilities
DEF,N/A,Biotechnology Life Sciences
DES,N/A,Banks
DHS,N/A,Beverages Tobacco
DLN,N/A,Software
DON,N/A,Banks
SLY,N/A,Banks
DSI,N/A,Software
DTD,N/A,Diversified Financials
DTN,N/A,Real Estate
EES,N/A,Banks
SPLG,N/A,Internet Software & IT Services
MDYG,N/A,Biotechnology Life Sciences
SPMD,N/A,Real Estate
MDYV,N/A,Real Estate
EPS,N/A,Internet Software & IT Services
EVX,Industrials,Commercial & Professional Services
RESP,N/A,Internet Software & IT Services
EZM,N/A,Banks
QSY,N/A,Diversified Financials
FAB,N/A,Banks
FAD,N/A,Software
FBT,Health Care,Biotechnology Life Sciences
FDL,N/A,Beverages Tobacco
FDM,N/A,Banks
FDN,Information Technology,Internet Software & IT Services
FTCS,N/A,Beverages Tobacco
FEX,N/A,Diversified Financials
FIW,N/A,Industrial Machinery
FNX,N/A,Real Estate
FPX,N/A,Software
FRI,Real Estate,Real Estate
FTA,N/A,Diversified Financials
FTC,N/A,Software
USRT,Real Estate,Real Estate
FVD,N/A,Electric Utilities
TUSA,N/A,Banks
FXD,Consumer Discretionary,Media
FXG,Consumer Staples,Food Products
FXH,Health Care,Biotechnology Life Sciences
FXL,Information Technology,Software
FXN,Energy,Oil & Gas Exploration & Production 
FXO,Financials,Diversified Financials
